nohup: ignoring input
<pymysql.connections.Connection object at 0x7f687b10fd60>
Not using distributed mode
Creating vqa datasets
Creating model
reshape position embedding from 256 to 576
reshape position embedding from 256 to 576
load checkpoint from /home/coder/projects/TCL/TCL_4M.pth
_IncompatibleKeys(missing_keys=[], unexpected_keys=['temp', 'image_queue', 'text_queue', 'queue_ptr', 'vision_proj.weight', 'vision_proj.bias', 'text_proj.weight', 'text_proj.bias', 'itm_head.weight', 'itm_head.bias', 'vision_proj_m.weight', 'vision_proj_m.bias', 'text_proj_m.weight', 'text_proj_m.bias'])
Start training
Train Epoch: [0]  [   0/2469]  eta: 2:49:50  lr: 0.000010  loss: 34.7158  time: 4.1275  data: 1.7563  max mem: 8827
Train Epoch: [0]  [  50/2469]  eta: 0:52:24  lr: 0.000010  loss: 7.9494  time: 1.2630  data: 0.0001  max mem: 11964
Train Epoch: [0]  [ 100/2469]  eta: 0:50:45  lr: 0.000010  loss: 17.8655  time: 1.2785  data: 0.0001  max mem: 11964
Train Epoch: [0]  [ 150/2469]  eta: 0:49:34  lr: 0.000013  loss: 5.4519  time: 1.2697  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 200/2469]  eta: 0:48:30  lr: 0.000013  loss: 13.4328  time: 1.2842  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 250/2469]  eta: 0:47:27  lr: 0.000015  loss: 1.3739  time: 1.2851  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 300/2469]  eta: 0:46:26  lr: 0.000015  loss: 9.0578  time: 1.2911  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 350/2469]  eta: 0:45:24  lr: 0.000018  loss: 6.6952  time: 1.2945  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 400/2469]  eta: 0:44:19  lr: 0.000018  loss: 7.2032  time: 1.2887  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 450/2469]  eta: 0:43:17  lr: 0.000020  loss: 12.4707  time: 1.3019  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 500/2469]  eta: 0:42:13  lr: 0.000020  loss: 4.1200  time: 1.2874  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 550/2469]  eta: 0:41:11  lr: 0.000020  loss: 11.2494  time: 1.2958  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 600/2469]  eta: 0:40:08  lr: 0.000020  loss: 10.9204  time: 1.3070  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 650/2469]  eta: 0:39:06  lr: 0.000020  loss: 6.5599  time: 1.3055  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 700/2469]  eta: 0:38:03  lr: 0.000020  loss: 8.2332  time: 1.3108  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 750/2469]  eta: 0:37:01  lr: 0.000020  loss: 0.9400  time: 1.3103  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 800/2469]  eta: 0:35:56  lr: 0.000020  loss: 6.0601  time: 1.2983  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 850/2469]  eta: 0:34:52  lr: 0.000020  loss: 4.5183  time: 1.3059  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 900/2469]  eta: 0:33:49  lr: 0.000020  loss: 12.6230  time: 1.3133  data: 0.0001  max mem: 12108
Train Epoch: [0]  [ 950/2469]  eta: 0:32:45  lr: 0.000020  loss: 3.5857  time: 1.2965  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1000/2469]  eta: 0:31:40  lr: 0.000020  loss: 7.1676  time: 1.3009  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1050/2469]  eta: 0:30:36  lr: 0.000020  loss: 3.6342  time: 1.3100  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1100/2469]  eta: 0:29:32  lr: 0.000020  loss: 5.8200  time: 1.3027  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1150/2469]  eta: 0:28:27  lr: 0.000020  loss: 13.3662  time: 1.2970  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1200/2469]  eta: 0:27:23  lr: 0.000020  loss: 5.7270  time: 1.2985  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1250/2469]  eta: 0:26:19  lr: 0.000020  loss: 5.7155  time: 1.3080  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1300/2469]  eta: 0:25:15  lr: 0.000020  loss: 7.0350  time: 1.3112  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1350/2469]  eta: 0:24:11  lr: 0.000020  loss: 7.7354  time: 1.3057  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1400/2469]  eta: 0:23:06  lr: 0.000020  loss: 3.0725  time: 1.3095  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1450/2469]  eta: 0:21:44  lr: 0.000020  loss: 1.1734  time: 0.7732  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1500/2469]  eta: 0:20:41  lr: 0.000020  loss: 7.1337  time: 1.3073  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1550/2469]  eta: 0:19:38  lr: 0.000020  loss: 1.9758  time: 1.3223  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1600/2469]  eta: 0:18:35  lr: 0.000020  loss: 6.3720  time: 1.3151  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1650/2469]  eta: 0:17:31  lr: 0.000020  loss: 0.5064  time: 1.3248  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1700/2469]  eta: 0:16:28  lr: 0.000020  loss: 8.3371  time: 1.3098  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1750/2469]  eta: 0:15:24  lr: 0.000020  loss: 6.3125  time: 1.3349  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1800/2469]  eta: 0:14:21  lr: 0.000020  loss: 8.0430  time: 1.3365  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1850/2469]  eta: 0:13:17  lr: 0.000020  loss: 7.9972  time: 1.3255  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1900/2469]  eta: 0:12:13  lr: 0.000020  loss: 6.4585  time: 1.3309  data: 0.0001  max mem: 12108
Train Epoch: [0]  [1950/2469]  eta: 0:11:10  lr: 0.000020  loss: 7.7984  time: 1.3416  data: 0.0001  max mem: 12108
Train Epoch: [0]  [2000/2469]  eta: 0:10:06  lr: 0.000020  loss: 3.0948  time: 1.3390  data: 0.0001  max mem: 12108
Train Epoch: [0]  [2050/2469]  eta: 0:09:01  lr: 0.000020  loss: 3.7288  time: 1.3373  data: 0.0001  max mem: 12108
Train Epoch: [0]  [2100/2469]  eta: 0:07:57  lr: 0.000020  loss: 1.8407  time: 1.3458  data: 0.0001  max mem: 12108
Train Epoch: [0]  [2150/2469]  eta: 0:06:53  lr: 0.000020  loss: 4.0173  time: 1.3421  data: 0.0001  max mem: 12108
Train Epoch: [0]  [2200/2469]  eta: 0:05:48  lr: 0.000020  loss: 4.5553  time: 1.3269  data: 0.0001  max mem: 12108
Train Epoch: [0]  [2250/2469]  eta: 0:04:44  lr: 0.000020  loss: 3.4778  time: 1.3546  data: 0.0001  max mem: 12110
Train Epoch: [0]  [2300/2469]  eta: 0:03:39  lr: 0.000020  loss: 19.4840  time: 1.3431  data: 0.0001  max mem: 12110
Train Epoch: [0]  [2350/2469]  eta: 0:02:34  lr: 0.000020  loss: 11.7621  time: 1.3530  data: 0.0001  max mem: 12246
Train Epoch: [0]  [2400/2469]  eta: 0:01:29  lr: 0.000020  loss: 2.6762  time: 1.3312  data: 0.0001  max mem: 12246
Train Epoch: [0]  [2450/2469]  eta: 0:00:24  lr: 0.000020  loss: 1.3798  time: 1.3342  data: 0.0001  max mem: 12246
Train Epoch: [0]  [2468/2469]  eta: 0:00:01  lr: 0.000020  loss: 4.4937  time: 1.3333  data: 0.0001  max mem: 12246
Train Epoch: [0] Total time: 0:53:31 (1.3009 s / it)
Averaged stats: lr: 0.0000  loss: 6.3002
###### {'lr': '0.000', 'loss': '6.300'}
Train Epoch: [1]  [   0/2469]  eta: 2:04:37  lr: 0.000020  loss: 10.5290  time: 3.0287  data: 1.6464  max mem: 13121
Train Epoch: [1]  [  50/2469]  eta: 0:54:38  lr: 0.000020  loss: 3.0478  time: 1.3228  data: 0.0001  max mem: 13121
Train Epoch: [1]  [ 100/2469]  eta: 0:52:57  lr: 0.000020  loss: 1.0310  time: 1.3334  data: 0.0001  max mem: 13121
Train Epoch: [1]  [ 150/2469]  eta: 0:51:38  lr: 0.000020  loss: 1.4418  time: 1.3310  data: 0.0001  max mem: 13121
Train Epoch: [1]  [ 200/2469]  eta: 0:50:16  lr: 0.000020  loss: 4.7469  time: 1.3120  data: 0.0001  max mem: 13121
Train Epoch: [1]  [ 250/2469]  eta: 0:49:03  lr: 0.000020  loss: 6.7406  time: 1.3167  data: 0.0001  max mem: 13121
Train Epoch: [1]  [ 300/2469]  eta: 0:47:50  lr: 0.000020  loss: 3.2154  time: 1.3086  data: 0.0001  max mem: 13121
Train Epoch: [1]  [ 350/2469]  eta: 0:46:41  lr: 0.000020  loss: 1.2036  time: 1.3120  data: 0.0001  max mem: 13121
Train Epoch: [1]  [ 400/2469]  eta: 0:45:29  lr: 0.000020  loss: 6.2491  time: 1.3121  data: 0.0001  max mem: 13121
Train Epoch: [1]  [ 450/2469]  eta: 0:44:21  lr: 0.000020  loss: 3.3335  time: 1.3043  data: 0.0001  max mem: 13121
Train Epoch: [1]  [ 500/2469]  eta: 0:43:12  lr: 0.000020  loss: 2.0523  time: 1.3060  data: 0.0001  max mem: 13121
